time,province,阈值
2019-08-01,上海市,1
2019-08-01,云南,7
2019-08-01,内蒙古自治区,1
2019-08-01,吉林,1
2019-08-01,四川,4
2019-08-01,安徽,4
2019-08-01,山东,10
2019-08-01,广东,7
2019-08-01,广西壮族自治区,4
2019-08-01,新疆维吾尔自治区,5
2019-08-01,江苏,1
2019-08-01,江西,3
2019-08-01,河北,3
2019-08-01,河南,6
2019-08-01,浙江,9
2019-08-01,湖北,9
2019-08-01,湖南,3
2019-08-01,福建,7
2019-08-01,贵州,3
2019-08-01,辽宁,3
2019-08-01,重庆市,2
2019-08-01,陕西,7
2019-08-01,青海,2
2019-08-01,黑龙江,2
2019-08-02,上海市,1
2019-08-02,云南,5
2019-08-02,内蒙古自治区,1
2019-08-02,北京市,1
2019-08-02,吉林,2
2019-08-02,四川,3
2019-08-02,安徽,5
2019-08-02,山东,9
2019-08-02,山西,4
2019-08-02,广东,5
2019-08-02,广西壮族自治区,1
2019-08-02,新疆维吾尔自治区,6
2019-08-02,江苏,3
2019-08-02,江西,5
2019-08-02,河北,3
2019-08-02,河南,7
2019-08-02,浙江,7
2019-08-02,海南,2
2019-08-02,湖北,6
2019-08-02,湖南,2
2019-08-02,甘肃,2
2019-08-02,福建,7
2019-08-02,贵州,2
2019-08-02,辽宁,2
2019-08-02,重庆市,5
2019-08-02,陕西,7
2019-08-02,青海,1
2019-08-02,黑龙江,1
2019-08-03,上海市,1
2019-08-03,云南,7
2019-08-03,内蒙古自治区,1
2019-08-03,北京市,1
2019-08-03,吉林,1
2019-08-03,四川,4
2019-08-03,安徽,2
2019-08-03,山东,9
2019-08-03,山西,3
2019-08-03,广东,5
2019-08-03,广西壮族自治区,3
2019-08-03,新疆维吾尔自治区,7
2019-08-03,江苏,3
2019-08-03,江西,4
2019-08-03,河北,1
2019-08-03,河南,7
2019-08-03,浙江,8
2019-08-03,海南,1
2019-08-03,湖北,8
2019-08-03,湖南,2
2019-08-03,甘肃,2
2019-08-03,福建,6
2019-08-03,贵州,2
2019-08-03,辽宁,2
2019-08-03,重庆市,3
2019-08-03,陕西,7
2019-08-03,青海,2
2019-08-03,黑龙江,1
2019-08-06,上海市,1
2019-08-06,云南,4
2019-08-06,北京市,1
2019-08-06,吉林,1
2019-08-06,四川,1
2019-08-06,安徽,4
2019-08-06,山东,8
2019-08-06,山西,2
2019-08-06,广东,8
2019-08-06,广西壮族自治区,5
2019-08-06,新疆维吾尔自治区,4
2019-08-06,江苏,1
2019-08-06,江西,2
2019-08-06,河北,3
2019-08-06,河南,8
2019-08-06,浙江,8
2019-08-06,海南,1
2019-08-06,湖北,7
2019-08-06,湖南,3
2019-08-06,福建,8
2019-08-06,贵州,2
2019-08-06,辽宁,2
2019-08-06,重庆市,6
2019-08-06,陕西,6
2019-08-06,青海,2
2019-08-06,黑龙江,1
2019-08-08,上海市,1
2019-08-08,云南,4
2019-08-08,内蒙古自治区,1
2019-08-08,北京市,1
2019-08-08,四川,2
2019-08-08,安徽,4
2019-08-08,山东,8
2019-08-08,山西,3
2019-08-08,广东,10
2019-08-08,广西壮族自治区,3
2019-08-08,新疆维吾尔自治区,5
2019-08-08,江苏,1
2019-08-08,江西,3
2019-08-08,河北,3
2019-08-08,河南,6
2019-08-08,浙江,6
2019-08-08,海南,2
2019-08-08,湖北,8
2019-08-08,湖南,3
2019-08-08,甘肃,3
2019-08-08,福建,6
2019-08-08,贵州,5
2019-08-08,辽宁,1
2019-08-08,重庆市,6
2019-08-08,陕西,7
2019-08-08,青海,1
2019-08-09,上海市,1
2019-08-09,云南,3
2019-08-09,内蒙古自治区,1
2019-08-09,北京市,1
2019-08-09,四川,3
2019-08-09,安徽,4
2019-08-09,山东,7
2019-08-09,山西,2
2019-08-09,广东,12
2019-08-09,广西壮族自治区,2
2019-08-09,新疆维吾尔自治区,5
2019-08-09,江苏,3
2019-08-09,江西,3
2019-08-09,河北,3
2019-08-09,河南,4
2019-08-09,浙江,7
2019-08-09,湖北,9
2019-08-09,湖南,6
2019-08-09,甘肃,2
2019-08-09,福建,8
2019-08-09,贵州,5
2019-08-09,辽宁,2
2019-08-09,重庆市,3
2019-08-09,陕西,8
